date,quarter,gdp_real
1980-01-01,1980Q1,89202.0
1980-04-01,1980Q2,91840.0
1980-07-01,1980Q3,91078.0
1980-10-01,1980Q4,95604.0
1981-01-01,1981Q1,90184.0
1981-04-01,1981Q2,93716.0
1981-07-01,1981Q3,92952.0
1981-10-01,1981Q4,96761.0
1982-01-01,1982Q1,90695.0
1982-04-01,1982Q2,92530.0
1982-07-01,1982Q3,90924.0
1982-10-01,1982Q4,94571.0
1983-01-01,1983Q1,90386.0
1983-04-01,1983Q2,92477.0
1983-07-01,1983Q3,92016.0
1983-10-01,1983Q4,96198.0
1984-01-01,1984Q1,92443.0
1984-04-01,1984Q2,94888.0
1984-07-01,1984Q3,95300.0
1984-10-01,1984Q4,99610.0
1985-01-01,1985Q1,95915.0
1985-04-01,1985Q2,98793.0
1985-07-01,1985Q3,98210.0
1985-10-01,1985Q4,103364.0
1986-01-01,1986Q1,97949.0
1986-04-01,1986Q2,101476.0
1986-07-01,1986Q3,100167.0
1986-10-01,1986Q4,104056.0
1987-01-01,1987Q1,98702.0
1987-04-01,1987Q2,101846.0
1987-07-01,1987Q3,102495.0
1987-10-01,1987Q4,107004.0
1988-01-01,1988Q1,102562.0
1988-04-01,1988Q2,104743.0
1988-07-01,1988Q3,105321.0
1988-10-01,1988Q4,110861.0
1989-01-01,1989Q1,106307.0
1989-04-01,1989Q2,110475.0
1989-07-01,1989Q3,110293.0
1989-10-01,1989Q4,114753.0
1990-01-01,1990Q1,112647.0
1990-04-01,1990Q2,114837.0
1990-07-01,1990Q3,113855.0
1990-10-01,1990Q4,116723.0
1991-01-01,1991Q1,112415.0
1991-04-01,1991Q2,113345.0
1991-07-01,1991Q3,112346.0
1991-10-01,1991Q4,115762.0
1992-01-01,1992Q1,112515.0
1992-04-01,1992Q2,113843.0
1992-07-01,1992Q3,112385.0
1992-10-01,1992Q4,114927.0
1993-01-01,1993Q1,110359.0
1993-04-01,1993Q2,112854.0
1993-07-01,1993Q3,113073.0
1993-10-01,1993Q4,116812.0
1994-01-01,1994Q1,113331.0
1994-04-01,1994Q2,113343.0
1994-07-01,1994Q3,114205.0
1994-10-01,1994Q4,117972.0
1995-01-01,1995Q1,113096.0
1995-04-01,1995Q2,114707.0
1995-07-01,1995Q3,114913.0
1995-10-01,1995Q4,118343.0
1996-01-01,1996Q1,114552.0
1996-04-01,1996Q2,115378.0
1996-07-01,1996Q3,114728.0
1996-10-01,1996Q4,118982.0
1997-01-01,1997Q1,114328.0
1997-04-01,1997Q2,117507.0
1997-07-01,1997Q3,118291.0
1997-10-01,1997Q4,123240.0
1998-01-01,1998Q1,118884.0
1998-04-01,1998Q2,121781.0
1998-07-01,1998Q3,121023.0
1998-10-01,1998Q4,124818.0
1999-01-01,1999Q1,120020.0
1999-04-01,1999Q2,122112.0
1999-07-01,1999Q3,122370.0
1999-10-01,1999Q4,130179.0
