date,electricity_consumption,temp,heat_need,quarter,gdp_real,population
1990-01-01,4589,-1.67,19.67,1990Q1,112647.0,6673850.0
1990-02-01,3921,2.1,15.9,1990Q1,112647.0,6673850.0
1990-03-01,4157,2.76,15.24,1990Q1,112647.0,6673850.0
1990-04-01,3796,2.52,15.48,1990Q2,114837.0,6673850.0
1990-05-01,3581,9.79,8.21,1990Q2,114837.0,6673850.0
1990-06-01,3513,10.69,7.31,1990Q2,114837.0,6673850.0
1990-07-01,3346,14.06,3.94,1990Q3,113855.0,6673850.0
1990-08-01,3373,14.31,3.69,1990Q3,113855.0,6673850.0
1990-09-01,3526,9.4,8.6,1990Q3,113855.0,6673850.0
1990-10-01,3967,7.85,10.15,1990Q4,116723.0,6673850.0
1990-11-01,4299,0.4,17.6,1990Q4,116723.0,6673850.0
1990-12-01,4510,-3.79,21.79,1990Q4,116723.0,6673850.0
1991-01-01,4594,-2.03,20.03,1991Q1,112415.0,6757188.0
1991-02-01,4381,-4.57,22.57,1991Q1,112415.0,6757188.0
1991-03-01,4127,3.08,14.92,1991Q1,112415.0,6757188.0
1991-04-01,3860,2.38,15.62,1991Q2,113345.0,6757188.0
1991-05-01,3789,4.84,13.16,1991Q2,113345.0,6757188.0
1991-06-01,3543,10.15,7.85,1991Q2,113345.0,6757188.0
1991-07-01,3352,15.24,2.76,1991Q3,112346.0,6757188.0
1991-08-01,3419,15.32,2.68,1991Q3,112346.0,6757188.0
1991-09-01,3565,12.28,5.720000000000001,1991Q3,112346.0,6757188.0
1991-10-01,4066,5.04,12.96,1991Q4,115762.0,6757188.0
1991-11-01,4337,0.74,17.26,1991Q4,115762.0,6757188.0
1991-12-01,4553,-2.71,20.71,1991Q4,115762.0,6757188.0
1992-01-01,4750,-2.45,20.45,1992Q1,112515.0,6842768.0
1992-02-01,4611,-1.44,19.44,1992Q1,112515.0,6842768.0
1992-03-01,4348,1.33,16.67,1992Q1,112515.0,6842768.0
1992-04-01,3835,3.66,14.34,1992Q2,113843.0,6842768.0
1992-05-01,3648,10.05,7.949999999999999,1992Q2,113843.0,6842768.0
1992-06-01,3473,10.81,7.19,1992Q2,113843.0,6842768.0
1992-07-01,3417,14.38,3.619999999999999,1992Q3,112385.0,6842768.0
1992-08-01,3463,16.19,1.8099999999999987,1992Q3,112385.0,6842768.0
1992-09-01,3638,10.35,7.65,1992Q3,112385.0,6842768.0
1992-10-01,4105,3.94,14.06,1992Q4,114927.0,6842768.0
1992-11-01,4179,3.25,14.75,1992Q4,114927.0,6842768.0
1992-12-01,4399,-1.35,19.35,1992Q4,114927.0,6842768.0
1993-01-01,4477,-0.04,18.04,1993Q1,110359.0,6907959.0
1993-02-01,4229,-2.68,20.68,1993Q1,110359.0,6907959.0
1993-03-01,4429,-0.13,18.13,1993Q1,110359.0,6907959.0
1993-04-01,3682,5.04,12.96,1993Q2,112854.0,6907959.0
1993-05-01,3525,9.56,8.44,1993Q2,112854.0,6907959.0
1993-06-01,3510,12.09,5.91,1993Q2,112854.0,6907959.0
1993-07-01,3377,12.41,5.59,1993Q3,113073.0,6907959.0
1993-08-01,3415,13.84,4.16,1993Q3,113073.0,6907959.0
1993-09-01,3664,8.84,9.16,1993Q3,113073.0,6907959.0
1993-10-01,4045,4.77,13.23,1993Q4,116812.0,6907959.0
1993-11-01,4436,-1.04,19.04,1993Q4,116812.0,6907959.0
1993-12-01,4450,-0.5,18.5,1993Q4,116812.0,6907959.0
1994-01-01,4501,-1.44,19.44,1994Q1,113331.0,6968570.0
1994-02-01,4193,-1.94,19.94,1994Q1,113331.0,6968570.0
1994-03-01,4117,4.33,13.67,1994Q1,113331.0,6968570.0
