date,electricity_consumption,temp,heat_need,quarter,gdp_real,population,month,year,season,consumption_lag_1,consumption_lag_12,temp_lag_1,gdp_lag_1
1991-01-01,4594,-2.03,20.03,1991Q1,112415.0,6757188.0,1,1991,winter,4510.0,4589.0,-3.79,116723.0
1991-02-01,4381,-4.57,22.57,1991Q1,112415.0,6757188.0,2,1991,winter,4594.0,3921.0,-2.03,112415.0
1991-03-01,4127,3.08,14.92,1991Q1,112415.0,6757188.0,3,1991,spring,4381.0,4157.0,-4.57,112415.0
1991-04-01,3860,2.38,15.62,1991Q2,113345.0,6757188.0,4,1991,spring,4127.0,3796.0,3.08,112415.0
1991-05-01,3789,4.84,13.16,1991Q2,113345.0,6757188.0,5,1991,spring,3860.0,3581.0,2.38,113345.0
1991-06-01,3543,10.15,7.85,1991Q2,113345.0,6757188.0,6,1991,summer,3789.0,3513.0,4.84,113345.0
1991-07-01,3352,15.24,2.76,1991Q3,112346.0,6757188.0,7,1991,summer,3543.0,3346.0,10.15,113345.0
1991-08-01,3419,15.32,2.68,1991Q3,112346.0,6757188.0,8,1991,summer,3352.0,3373.0,15.24,112346.0
1991-09-01,3565,12.28,5.720000000000001,1991Q3,112346.0,6757188.0,9,1991,autumn,3419.0,3526.0,15.32,112346.0
1991-10-01,4066,5.04,12.96,1991Q4,115762.0,6757188.0,10,1991,autumn,3565.0,3967.0,12.28,112346.0
1991-11-01,4337,0.74,17.26,1991Q4,115762.0,6757188.0,11,1991,autumn,4066.0,4299.0,5.04,115762.0
1991-12-01,4553,-2.71,20.71,1991Q4,115762.0,6757188.0,12,1991,winter,4337.0,4510.0,0.74,115762.0
1992-01-01,4750,-2.45,20.45,1992Q1,112515.0,6842768.0,1,1992,winter,4553.0,4594.0,-2.71,115762.0
1992-02-01,4611,-1.44,19.44,1992Q1,112515.0,6842768.0,2,1992,winter,4750.0,4381.0,-2.45,112515.0
1992-03-01,4348,1.33,16.67,1992Q1,112515.0,6842768.0,3,1992,spring,4611.0,4127.0,-1.44,112515.0
1992-04-01,3835,3.66,14.34,1992Q2,113843.0,6842768.0,4,1992,spring,4348.0,3860.0,1.33,112515.0
1992-05-01,3648,10.05,7.949999999999999,1992Q2,113843.0,6842768.0,5,1992,spring,3835.0,3789.0,3.66,113843.0
1992-06-01,3473,10.81,7.19,1992Q2,113843.0,6842768.0,6,1992,summer,3648.0,3543.0,10.05,113843.0
1992-07-01,3417,14.38,3.619999999999999,1992Q3,112385.0,6842768.0,7,1992,summer,3473.0,3352.0,10.81,113843.0
1992-08-01,3463,16.19,1.8099999999999987,1992Q3,112385.0,6842768.0,8,1992,summer,3417.0,3419.0,14.38,112385.0
1992-09-01,3638,10.35,7.65,1992Q3,112385.0,6842768.0,9,1992,autumn,3463.0,3565.0,16.19,112385.0
1992-10-01,4105,3.94,14.06,1992Q4,114927.0,6842768.0,10,1992,autumn,3638.0,4066.0,10.35,112385.0
1992-11-01,4179,3.25,14.75,1992Q4,114927.0,6842768.0,11,1992,autumn,4105.0,4337.0,3.94,114927.0
1992-12-01,4399,-1.35,19.35,1992Q4,114927.0,6842768.0,12,1992,winter,4179.0,4553.0,3.25,114927.0
1993-01-01,4477,-0.04,18.04,1993Q1,110359.0,6907959.0,1,1993,winter,4399.0,4750.0,-1.35,114927.0
1993-02-01,4229,-2.68,20.68,1993Q1,110359.0,6907959.0,2,1993,winter,4477.0,4611.0,-0.04,110359.0
1993-03-01,4429,-0.13,18.13,1993Q1,110359.0,6907959.0,3,1993,spring,4229.0,4348.0,-2.68,110359.0
1993-04-01,3682,5.04,12.96,1993Q2,112854.0,6907959.0,4,1993,spring,4429.0,3835.0,-0.13,110359.0
1993-05-01,3525,9.56,8.44,1993Q2,112854.0,6907959.0,5,1993,spring,3682.0,3648.0,5.04,112854.0
1993-06-01,3510,12.09,5.91,1993Q2,112854.0,6907959.0,6,1993,summer,3525.0,3473.0,9.56,112854.0
1993-07-01,3377,12.41,5.59,1993Q3,113073.0,6907959.0,7,1993,summer,3510.0,3417.0,12.09,112854.0
1993-08-01,3415,13.84,4.16,1993Q3,113073.0,6907959.0,8,1993,summer,3377.0,3463.0,12.41,113073.0
1993-09-01,3664,8.84,9.16,1993Q3,113073.0,6907959.0,9,1993,autumn,3415.0,3638.0,13.84,113073.0
1993-10-01,4045,4.77,13.23,1993Q4,116812.0,6907959.0,10,1993,autumn,3664.0,4105.0,8.84,113073.0
1993-11-01,4436,-1.04,19.04,1993Q4,116812.0,6907959.0,11,1993,autumn,4045.0,4179.0,4.77,116812.0
1993-12-01,4450,-0.5,18.5,1993Q4,116812.0,6907959.0,12,1993,winter,4436.0,4399.0,-1.04,116812.0
1994-01-01,4501,-1.44,19.44,1994Q1,113331.0,6968570.0,1,1994,winter,4450.0,4477.0,-0.5,116812.0
1994-02-01,4193,-1.94,19.94,1994Q1,113331.0,6968570.0,2,1994,winter,4501.0,4229.0,-1.44,113331.0
1994-03-01,4117,4.33,13.67,1994Q1,113331.0,6968570.0,3,1994,spring,4193.0,4429.0,-1.94,113331.0
1994-04-01,3856,2.43,15.57,1994Q2,113343.0,6968570.0,4,1994,spring,4117.0,3682.0,4.33,113331.0
1994-05-01,3629,8.72,9.28,1994Q2,113343.0,6968570.0,5,1994,spring,3856.0,3525.0,2.43,113343.0
1994-06-01,3613,12.17,5.83,1994Q2,113343.0,6968570.0,6,1994,summer,3629.0,3510.0,8.72,113343.0
1994-07-01,3358,16.56,1.4400000000000013,1994Q3,114205.0,6968570.0,7,1994,summer,3613.0,3377.0,12.17,113343.0
1994-08-01,3431,15.01,2.99,1994Q3,114205.0,6968570.0,8,1994,summer,3358.0,3415.0,16.56,114205.0
1994-09-01,3696,9.73,8.27,1994Q3,114205.0,6968570.0,9,1994,autumn,3431.0,3664.0,15.01,114205.0
1994-10-01,3989,6.18,11.82,1994Q4,117972.0,6968570.0,10,1994,autumn,3696.0,4045.0,9.73,114205.0
1994-11-01,4124,4.75,13.25,1994Q4,117972.0,6968570.0,11,1994,autumn,3989.0,4436.0,6.18,117972.0
1994-12-01,4390,0.11,17.89,1994Q4,117972.0,6968570.0,12,1994,winter,4124.0,4450.0,4.75,117972.0
1995-01-01,4822,-3.79,21.79,1995Q1,113096.0,7019019.0,1,1995,winter,4390.0,4501.0,0.11,117972.0
1995-02-01,4065,0.64,17.36,1995Q1,113096.0,7019019.0,2,1995,winter,4822.0,4193.0,-3.79,113096.0
1995-03-01,4473,-1.15,19.15,1995Q1,113096.0,7019019.0,3,1995,spring,4065.0,4117.0,0.64,113096.0
1995-04-01,3733,4.28,13.72,1995Q2,114707.0,7019019.0,4,1995,spring,4473.0,3856.0,-1.15,113096.0
1995-05-01,3716,8.05,9.95,1995Q2,114707.0,7019019.0,5,1995,spring,3733.0,3629.0,4.28,114707.0
1995-06-01,3616,9.86,8.14,1995Q2,114707.0,7019019.0,6,1995,summer,3716.0,3613.0,8.05,114707.0
1995-07-01,3426,16.09,1.91,1995Q3,114913.0,7019019.0,7,1995,summer,3616.0,3358.0,9.86,114707.0
1995-08-01,3477,13.0,5.0,1995Q3,114913.0,7019019.0,8,1995,summer,3426.0,3431.0,16.09,114913.0
1995-09-01,3745,7.63,10.37,1995Q3,114913.0,7019019.0,9,1995,autumn,3477.0,3696.0,13.0,114913.0
1995-10-01,3885,9.4,8.6,1995Q4,118343.0,7019019.0,10,1995,autumn,3745.0,3989.0,7.63,114913.0
1995-11-01,4352,0.68,17.32,1995Q4,118343.0,7019019.0,11,1995,autumn,3885.0,4124.0,9.4,118343.0
1995-12-01,4572,-2.32,20.32,1995Q4,118343.0,7019019.0,12,1995,winter,4352.0,4390.0,0.68,118343.0
1996-01-01,4744,-1.26,19.26,1996Q1,114552.0,7062354.0,1,1996,winter,4572.0,4822.0,-2.32,118343.0
1996-02-01,4579,-4.31,22.31,1996Q1,114552.0,7062354.0,2,1996,winter,4744.0,4065.0,-1.26,114552.0
1996-03-01,4428,-1.11,19.11,1996Q1,114552.0,7062354.0,3,1996,spring,4579.0,4473.0,-4.31,114552.0
1996-04-01,3791,4.62,13.38,1996Q2,115378.0,7062354.0,4,1996,spring,4428.0,3733.0,-1.11,114552.0
1996-05-01,3682,8.0,10.0,1996Q2,115378.0,7062354.0,5,1996,spring,3791.0,3716.0,4.62,115378.0
1996-06-01,3516,12.67,5.33,1996Q2,115378.0,7062354.0,6,1996,summer,3682.0,3616.0,8.0,115378.0
1996-07-01,3452,12.83,5.17,1996Q3,114728.0,7062354.0,7,1996,summer,3516.0,3426.0,12.67,115378.0
1996-08-01,3457,12.41,5.59,1996Q3,114728.0,7062354.0,8,1996,summer,3452.0,3477.0,12.83,114728.0
1996-09-01,3856,7.08,10.92,1996Q3,114728.0,7062354.0,9,1996,autumn,3457.0,3745.0,12.41,114728.0
1996-10-01,4085,5.83,12.17,1996Q4,118982.0,7062354.0,10,1996,autumn,3856.0,3885.0,7.08,114728.0
1996-11-01,4513,0.96,17.04,1996Q4,118982.0,7062354.0,11,1996,autumn,4085.0,4352.0,5.83,118982.0
1996-12-01,4589,-2.22,20.22,1996Q4,118982.0,7062354.0,12,1996,winter,4513.0,4572.0,0.96,118982.0
1997-01-01,4888,-2.26,20.26,1997Q1,114328.0,7081346.0,1,1997,winter,4589.0,4744.0,-2.22,118982.0
1997-02-01,4207,0.4,17.6,1997Q1,114328.0,7081346.0,2,1997,winter,4888.0,4579.0,-2.26,114328.0
1997-03-01,4202,3.08,14.92,1997Q1,114328.0,7081346.0,3,1997,spring,4207.0,4428.0,0.4,114328.0
1997-04-01,3908,3.09,14.91,1997Q2,117507.0,7081346.0,4,1997,spring,4202.0,3791.0,3.08,114328.0
1997-05-01,3700,8.8,9.2,1997Q2,117507.0,7081346.0,5,1997,spring,3908.0,3682.0,3.09,117507.0
