date,electricity_consumption
1990-01-01,4589
1990-02-01,3921
1990-03-01,4157
1990-04-01,3796
1990-05-01,3581
1990-06-01,3513
1990-07-01,3346
1990-08-01,3373
1990-09-01,3526
1990-10-01,3967
1990-11-01,4299
1990-12-01,4510
1991-01-01,4594
1991-02-01,4381
1991-03-01,4127
1991-04-01,3860
1991-05-01,3789
1991-06-01,3543
1991-07-01,3352
1991-08-01,3419
1991-09-01,3565
1991-10-01,4066
1991-11-01,4337
1991-12-01,4553
1992-01-01,4750
1992-02-01,4611
1992-03-01,4348
1992-04-01,3835
1992-05-01,3648
1992-06-01,3473
1992-07-01,3417
1992-08-01,3463
1992-09-01,3638
1992-10-01,4105
1992-11-01,4179
1992-12-01,4399
1993-01-01,4477
1993-02-01,4229
1993-03-01,4429
1993-04-01,3682
1993-05-01,3525
1993-06-01,3510
1993-07-01,3377
1993-08-01,3415
1993-09-01,3664
1993-10-01,4045
1993-11-01,4436
1993-12-01,4450
1994-01-01,4501
1994-02-01,4193
1994-03-01,4117
1994-04-01,3856
1994-05-01,3629
1994-06-01,3613
1994-07-01,3358
1994-08-01,3431
1994-09-01,3696
1994-10-01,3989
1994-11-01,4124
1994-12-01,4390
1995-01-01,4822
1995-02-01,4065
1995-03-01,4473
1995-04-01,3733
1995-05-01,3716
1995-06-01,3616
1995-07-01,3426
1995-08-01,3477
1995-09-01,3745
1995-10-01,3885
1995-11-01,4352
1995-12-01,4572
1996-01-01,4744
1996-02-01,4579
1996-03-01,4428
1996-04-01,3791
1996-05-01,3682
1996-06-01,3516
1996-07-01,3452
1996-08-01,3457
1996-09-01,3856
1996-10-01,4085
1996-11-01,4513
1996-12-01,4589
1997-01-01,4888
1997-02-01,4207
1997-03-01,4202
1997-04-01,3908
1997-05-01,3700
1997-06-01,3593
1997-07-01,3521
1997-08-01,3535
1997-09-01,3755
1997-10-01,4185
1997-11-01,4458
1997-12-01,4660
1998-01-01,4775
1998-02-01,4280
1998-03-01,4489
1998-04-01,3963
1998-05-01,3752
1998-06-01,3715
1998-07-01,3577
1998-08-01,3606
1998-09-01,3907
1998-10-01,4146
1998-11-01,4617
1998-12-01,4793
1999-01-01,4860
1999-02-01,4644
1999-03-01,4697
1999-04-01,4111
1999-05-01,3852
1999-06-01,3732
1999-07-01,3627
1999-08-01,3721
1999-09-01,3984
1999-10-01,4276
1999-11-01,4760
1999-12-01,4949
2000-01-01,5128
2000-02-01,4668
2000-03-01,4737
2000-04-01,4093
2000-05-01,4119
2000-06-01,3895
2000-07-01,3832
2000-08-01,3917
2000-09-01,4065
2000-10-01,4439
2000-11-01,4694
2000-12-01,4786
2001-01-01,5165
2001-02-01,4607
2001-03-01,4869
2001-04-01,4359
2001-05-01,4181
2001-06-01,4001
2001-07-01,3966
2001-08-01,4003
2001-09-01,4195
2001-10-01,4396
2001-11-01,4881
2001-12-01,5126
2002-01-01,5403
2002-02-01,4602
2002-03-01,4742
2002-04-01,4367
2002-05-01,4231
2002-06-01,4080
2002-07-01,3997
2002-08-01,3996
2002-09-01,4220
2002-10-01,4629
