YEAR;REFERENCE_POPULATION;VALUE
1861;POP_JAN;2515396
1862;POP_JAN;2533077
1863;POP_JAN;2554257
1864;POP_JAN;2575649
1865;POP_JAN;2594555
1866;POP_JAN;2611102
1867;POP_JAN;2625400
1868;POP_JAN;2637538
1869;POP_JAN;2647583
1870;POP_JAN;2657614
1871;POP_JAN;2673468
1872;POP_JAN;2686618
1873;POP_JAN;2701982
1874;POP_JAN;2718108
1875;POP_JAN;2733487
1876;POP_JAN;2749393
1877;POP_JAN;2767666
1878;POP_JAN;2785514
1879;POP_JAN;2802222
1880;POP_JAN;2817307
1881;POP_JAN;2840501
1882;POP_JAN;2851255
1883;POP_JAN;2860234
1884;POP_JAN;2871264
1885;POP_JAN;2883670
1886;POP_JAN;2892184
1887;POP_JAN;2901605
1888;POP_JAN;2911233
1889;POP_JAN;2922897
1890;POP_JAN;2949577
1891;POP_JAN;2972024
1892;POP_JAN;3000632
1893;POP_JAN;3032945
1894;POP_JAN;3063218
1895;POP_JAN;3091585
1896;POP_JAN;3122589
1897;POP_JAN;3161271
1898;POP_JAN;3201298
1899;POP_JAN;3240943
1900;POP_JAN;3282407
1901;POP_JAN;3318985
1902;POP_JAN;3364073
1903;POP_JAN;3411135
1904;POP_JAN;3453716
1905;POP_JAN;3496188
1906;POP_JAN;3536835
1907;POP_JAN;3582151
1908;POP_JAN;3625456
1909;POP_JAN;3671165
1910;POP_JAN;3711868
1911;POP_JAN;3756842
1912;POP_JAN;3778312
1913;POP_JAN;3805595
1914;POP_JAN;3828431
1915;POP_JAN;3849766
1916;POP_JAN;3860635
1917;POP_JAN;3871760
1918;POP_JAN;3878896
1919;POP_JAN;3864844
1920;POP_JAN;3869481
1921;POP_JAN;3883360
1922;POP_JAN;3908521
1923;POP_JAN;3928566
1924;POP_JAN;3952134
1925;POP_JAN;3970682
1926;POP_JAN;3989227
1927;POP_JAN;4009537
1928;POP_JAN;4024345
1929;POP_JAN;4040177
1930;POP_JAN;4052557
1931;POP_JAN;4070042
1932;POP_JAN;4091602
1933;POP_JAN;4110388
1934;POP_JAN;4136343
1935;POP_JAN;4159698
1936;POP_JAN;4178640
1937;POP_JAN;4198782
1938;POP_JAN;4217126
1939;POP_JAN;4235430
1940;POP_JAN;4252902
1941;POP_JAN;4268964
1942;POP_JAN;4296693
1943;POP_JAN;4326774
1944;POP_JAN;4360681
1945;POP_JAN;4392319
